frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc,distance
101,1642757608.297410,71.361046,17.906949,0.511905,5.871046,-0.554170,5.860000,-160.000000,45.000000,2.000000,0.000000,15.169411
102,1642757608.337591,71.557919,18.036192,0.516443,5.872460,-0.499364,6.660000,-160.000000,45.000000,2.000000,0.000000,15.404916
103,1642757608.337591,71.557919,18.036192,0.516443,5.872460,-0.499364,6.660000,-161.000000,45.000000,2.000000,0.000000,15.404916
104,1642757608.377343,71.756475,18.160951,0.521504,5.868307,-0.456130,7.310000,-161.000000,45.000000,2.000000,0.000000,15.639414
105,1642757608.417361,71.954218,18.289062,0.526740,5.867200,-0.449363,7.650000,-161.000000,45.000000,2.000000,0.000000,15.875030
106,1642757608.417361,71.954218,18.289062,0.526740,5.867200,-0.449363,7.650000,-161.000000,45.000000,2.000000,0.000000,15.875030
107,1642757608.457392,72.151990,18.418282,0.532151,5.870673,-0.447120,7.760000,-162.000000,45.000000,2.000000,0.000000,16.111274
108,1642757608.457392,72.151990,18.418282,0.532151,5.870673,-0.447120,7.760000,-162.000000,45.000000,2.000000,0.000000,16.111274
109,1642757608.497646,72.347992,18.548658,0.537387,5.890691,-0.498920,6.830000,-162.000000,45.000000,2.000000,0.000000,16.346677
110,1642757608.497646,72.347992,18.548658,0.537387,5.890691,-0.498920,6.830000,-162.000000,45.000000,2.000000,0.000000,16.346677
111,1642757608.557361,72.638539,18.749863,0.542797,5.890867,-0.668215,4.270000,-162.000000,45.000000,2.000000,0.000000,16.700091
112,1642757608.597397,72.831144,18.888099,0.546114,5.872931,-0.578990,5.130000,-162.000000,45.000000,2.000000,0.000000,16.937169
113,1642757608.617297,72.927432,18.956662,0.548033,5.865751,-0.538793,5.830000,-162.000000,45.000000,2.000000,0.000000,17.055373
114,1642757608.637490,73.023691,19.024115,0.550302,5.852468,-0.534373,6.190000,-163.000000,45.000000,0.000000,0.000000,17.172914
115,1642757608.677316,73.215367,19.161265,0.554666,5.903188,-0.562340,6.430000,-163.000000,45.000000,2.000000,0.000000,17.408604
116,1642757608.677316,73.215367,19.161265,0.554666,5.903188,-0.562340,6.430000,-163.000000,45.000000,2.000000,0.000000,17.408604
117,1642757608.717298,73.409742,19.298345,0.559902,5.936785,-0.444888,7.810000,-163.000000,45.000000,2.000000,0.000000,17.646453
118,1642757608.717298,73.409742,19.298345,0.559902,5.936785,-0.444888,7.810000,-163.000000,45.000000,2.000000,0.000000,17.646453
119,1642757608.757371,73.603016,19.427681,0.565138,5.898805,-0.438123,7.310000,-163.000000,45.000000,2.000000,0.000000,17.879010
120,1642757608.757371,73.603016,19.427681,0.565138,5.898805,-0.438123,7.310000,-163.000000,45.000000,2.000000,0.000000,17.879010
121,1642757608.797387,73.794721,19.565941,0.569675,5.859371,-0.534034,6.020000,-163.000000,45.000000,2.000000,0.000000,18.115371
122,1642757608.837295,73.984656,19.705356,0.574213,5.882231,-0.489415,6.980000,-163.000000,45.000000,2.000000,0.000000,18.350981
123,1642757608.837295,73.984656,19.705356,0.574213,5.882231,-0.489415,6.980000,-163.000000,45.000000,2.000000,0.000000,18.350981
124,1642757608.897311,74.271778,19.913311,0.582067,5.900408,-0.474351,7.030000,-163.000000,45.000000,2.000000,0.000000,18.705500
125,1642757608.897311,74.271778,19.913311,0.582067,5.900408,-0.474351,7.030000,-163.000000,45.000000,2.000000,0.000000,18.705500
126,1642757608.937413,74.460928,20.057188,0.586256,5.868859,-0.565506,5.930000,-163.000000,45.000000,2.000000,0.000000,18.943152
127,1642757608.977467,74.645350,20.192305,0.590968,5.773697,-0.492648,7.600000,-163.000000,45.000000,2.000000,0.000000,19.171774
128,1642757608.977467,74.645350,20.192305,0.590968,5.773697,-0.492648,7.600000,-163.000000,45.000000,2.000000,0.000000,19.171774
129,1642757609.017459,74.829888,20.331859,0.597077,5.774117,-0.459056,9.030000,-163.000000,45.000000,2.000000,0.000000,19.403139
130,1642757609.017459,74.829888,20.331859,0.597077,5.774117,-0.459056,9.030000,-163.000000,45.000000,2.000000,0.000000,19.403139
131,1642757609.057726,75.014511,20.474743,0.603186,5.857055,-0.538503,8.560000,-163.000000,45.000000,2.000000,0.000000,19.636595
132,1642757609.097319,75.200121,20.620932,0.609120,5.867340,-0.463360,8.750000,-163.000000,45.000000,2.000000,0.000000,19.872862
133,1642757609.097319,75.200121,20.620932,0.609120,5.867340,-0.463360,8.750000,-163.000000,45.000000,2.000000,0.000000,19.872862
134,1642757609.137553,75.386572,20.764878,0.615578,5.859160,-0.376934,9.350000,-163.000000,45.000000,2.000000,0.000000,20.108414
135,1642757609.137553,75.386572,20.764878,0.615578,5.859160,-0.376934,9.350000,-163.000000,45.000000,2.000000,0.000000,20.108414
136,1642757609.177415,75.572124,20.908848,0.621861,5.846691,-0.438017,8.620000,-163.000000,45.000000,2.000000,0.000000,20.343268
137,1642757609.177415,75.572124,20.908848,0.621861,5.846691,-0.438017,8.620000,-163.000000,45.000000,2.000000,0.000000,20.343268
138,1642757609.237525,75.845112,21.127161,0.630064,5.887663,-0.511158,7.240000,-163.000000,45.000000,2.000000,0.000000,20.692815
139,1642757609.237525,75.845112,21.127161,0.630064,5.887663,-0.511158,7.240000,-163.000000,45.000000,2.000000,0.000000,20.692815
140,1642757609.297367,76.119230,21.354327,0.637220,5.925689,-0.482031,6.520000,-163.000000,45.000000,2.000000,0.000000,21.048828
141,1642757609.317673,76.210293,21.429687,0.639489,5.918869,-0.493153,6.350000,-163.000000,45.000000,2.000000,0.000000,21.167029
142,1642757609.317673,76.210293,21.429687,0.639489,5.918869,-0.493153,6.350000,-163.000000,45.000000,2.000000,0.000000,21.167029
143,1642757609.357732,76.391577,21.582649,0.644201,5.882964,-0.517683,6.700000,-163.000000,45.000000,2.000000,0.000000,21.404224
144,1642757609.397535,76.571846,21.731197,0.649437,5.901906,-0.471975,7.930000,-163.000000,45.000000,2.000000,0.000000,21.637812
145,1642757609.397535,76.571846,21.731197,0.649437,5.901906,-0.471975,7.930000,-163.000000,45.000000,2.000000,0.000000,21.637812
146,1642757609.437357,76.753101,21.883050,0.655546,5.927732,-0.390433,8.930000,-163.000000,45.000000,2.000000,0.000000,21.874271
147,1642757609.437357,76.753101,21.883050,0.655546,5.927732,-0.390433,8.930000,-163.000000,45.000000,2.000000,0.000000,21.874271
148,1642757609.477614,76.935285,22.035989,0.661480,5.885851,-0.406052,8.270000,-163.000000,45.000000,2.000000,0.000000,22.112139
149,1642757609.477614,76.935285,22.035989,0.661480,5.885851,-0.406052,8.270000,-163.000000,45.000000,2.000000,0.000000,22.112139
150,1642757609.517318,77.112129,22.191286,0.666541,5.840179,-0.530794,6.390000,-163.000000,45.000000,2.000000,0.000000,22.347492
151,1642757609.577426,77.371997,22.424372,0.672650,5.886767,-0.551266,6.170000,-163.000000,45.000000,2.000000,0.000000,22.696578
152,1642757609.577426,77.371997,22.424372,0.672650,5.886767,-0.551266,6.170000,-164.000000,45.000000,2.000000,0.000000,22.696578
153,1642757609.617298,77.547128,22.583045,0.677537,5.897719,-0.484987,7.070000,-164.000000,45.000000,2.000000,0.000000,22.932899
154,1642757609.657335,77.723159,22.741695,0.682598,5.881766,-0.467455,7.170000,-164.000000,45.000000,2.000000,0.000000,23.169873
155,1642757609.657335,77.723159,22.741695,0.682598,5.881766,-0.467455,7.170000,-164.000000,45.000000,2.000000,0.000000,23.169873
156,1642757609.697346,77.896491,22.900414,0.687311,5.866989,-0.510542,6.510000,-164.000000,45.000000,2.000000,0.000000,23.404896
157,1642757609.697346,77.896491,22.900414,0.687311,5.866989,-0.510542,6.510000,-164.000000,45.000000,2.000000,0.000000,23.404896
158,1642757609.737535,78.068110,23.062508,0.691499,5.895625,-0.550963,5.770000,-165.000000,45.000000,2.000000,0.000000,23.640963
159,1642757609.737535,78.068110,23.062508,0.691499,5.895625,-0.550963,5.770000,-165.000000,45.000000,2.000000,0.000000,23.640963
160,1642757609.777411,78.238743,23.221298,0.695339,5.910138,-0.563524,5.290000,-165.000000,45.000000,2.000000,0.000000,23.874050
161,1642757609.817348,78.410419,23.385611,0.699179,5.890324,-0.531833,5.670000,-165.000000,45.000000,2.000000,0.000000,24.111688
162,1642757609.817348,78.410419,23.385611,0.699179,5.890324,-0.531833,5.670000,-166.000000,45.000000,2.000000,0.000000,24.111688
163,1642757609.857440,78.580268,23.548862,0.703368,5.846470,-0.514723,6.250000,-166.000000,45.000000,2.000000,0.000000,24.347271
164,1642757609.857440,78.580268,23.548862,0.703368,5.846470,-0.514723,6.250000,-167.000000,45.000000,2.000000,0.000000,24.347271
165,1642757609.917542,78.833228,23.793229,0.710174,5.847529,-0.524379,6.480000,-167.000000,45.000000,2.000000,0.000000,24.698987
166,1642757609.917542,78.833228,23.793229,0.710174,5.847529,-0.524379,6.480000,-168.000000,45.000000,2.000000,0.000000,24.698987
167,1642757609.977321,79.083431,24.035448,0.716981,5.859910,-0.529830,6.280000,-168.000000,45.000000,2.000000,0.000000,25.047228
168,1642757609.997411,79.166600,24.118784,0.719076,5.848504,-0.556411,6.070000,-170.000000,45.000000,2.000000,0.000000,25.164964
169,1642757609.997411,79.166600,24.118784,0.719076,5.848504,-0.556411,6.070000,-170.000000,45.000000,2.000000,0.000000,25.164964
170,1642757610.037297,79.332037,24.285479,0.723614,5.838280,-0.551751,6.680000,-171.000000,45.000000,2.000000,0.000000,25.399819
171,1642757610.037297,79.332037,24.285479,0.723614,5.838280,-0.551751,6.680000,-171.000000,45.000000,2.000000,0.000000,25.399819
172,1642757610.077304,79.497474,24.452175,0.729024,5.847806,-0.478035,8.510000,-173.000000,45.000000,2.000000,0.000000,25.634674
173,1642757610.117513,79.663782,24.617737,0.735482,5.852148,-0.426879,9.500000,-173.000000,45.000000,2.000000,0.000000,25.869343
174,1642757610.117513,79.663782,24.617737,0.735482,5.852148,-0.426879,9.500000,-175.000000,45.000000,2.000000,0.000000,25.869343
175,1642757610.157514,79.829219,24.784433,0.741765,5.852978,-0.478497,8.440000,-175.000000,45.000000,2.000000,0.000000,26.104198
176,1642757610.157514,79.829219,24.784433,0.741765,5.852978,-0.478497,8.440000,-176.000000,45.000000,2.000000,0.000000,26.104198
177,1642757610.197398,79.989202,24.949049,0.747350,5.859916,-0.535834,7.420000,-178.000000,45.000000,2.000000,0.000000,26.333747
178,1642757610.197398,79.989202,24.949049,0.747350,5.859916,-0.535834,7.420000,-178.000000,45.000000,2.000000,0.000000,26.333747
179,1642757610.257582,80.232583,25.205877,0.755204,5.880392,-0.483925,7.870000,-178.000000,45.000000,2.000000,0.000000,26.687576
180,1642757610.297506,80.395408,25.375971,0.761313,5.863291,-0.395173,9.420000,-179.000000,45.000000,2.000000,0.000000,26.923041
181,1642757610.317456,80.477705,25.460440,0.764803,5.865502,-0.366942,9.870000,-180.000000,45.000000,0.000000,0.000000,27.040973
182,1642757610.337304,80.559103,25.544932,0.768294,5.870101,-0.357131,9.870000,-180.000000,45.000000,2.000000,0.000000,27.158295
183,1642757610.377638,80.714559,25.708556,0.774926,5.867894,-0.405123,8.840000,-180.000000,45.000000,2.000000,0.000000,27.383993
184,1642757610.377638,80.714559,25.708556,0.774926,5.867894,-0.405123,8.840000,-182.000000,45.000000,2.000000,0.000000,27.383993
185,1642757610.417307,80.873872,25.882071,0.780511,5.863980,-0.459997,7.440000,-184.000000,45.000000,2.000000,0.000000,27.619552
186,1642757610.417307,80.873872,25.882071,0.780511,5.863980,-0.459997,7.440000,-184.000000,45.000000,2.000000,0.000000,27.619552
187,1642757610.457322,81.030544,26.057875,0.785224,5.849804,-0.519330,6.420000,-185.000000,45.000000,2.000000,0.000000,27.855037
188,1642757610.457322,81.030544,26.057875,0.785224,5.849804,-0.519330,6.420000,-185.000000,45.000000,2.000000,0.000000,27.855037
189,1642757610.497335,81.185417,26.233726,0.789936,5.840137,-0.485449,7.490000,-186.000000,45.000000,2.000000,0.000000,28.089364
190,1642757610.537498,81.342959,26.408398,0.796219,5.860659,-0.375011,9.570000,-186.000000,45.000000,2.000000,0.000000,28.324587
191,1642757610.537498,81.342959,26.408398,0.796219,5.860659,-0.375011,9.570000,-187.000000,45.000000,2.000000,0.000000,28.324587
192,1642757610.597352,81.572876,26.666685,0.805469,5.884943,-0.489393,7.400000,-187.000000,45.000000,2.000000,0.000000,28.670381
193,1642757610.597352,81.572876,26.666685,0.805469,5.884943,-0.489393,7.400000,-187.000000,45.000000,2.000000,0.000000,28.670381
194,1642757610.657331,81.796927,26.941778,0.810705,5.869368,-0.695279,4.110000,-187.000000,45.000000,2.000000,0.000000,29.025170
195,1642757610.677385,81.870430,27.034246,0.812276,5.866709,-0.678378,4.260000,-187.000000,45.000000,2.000000,0.000000,29.143293
196,1642757610.677385,81.870430,27.034246,0.812276,5.866709,-0.678378,4.260000,-187.000000,45.000000,2.000000,0.000000,29.143293
197,1642757610.717394,82.018308,27.218050,0.815941,5.881941,-0.565929,6.210000,-187.000000,45.000000,2.000000,0.000000,29.379199
198,1642757610.717394,82.018308,27.218050,0.815941,5.881941,-0.565929,6.210000,-187.000000,45.000000,2.000000,0.000000,29.379199
199,1642757610.757400,82.169726,27.399542,0.821352,5.873875,-0.482841,8.360000,-187.000000,45.000000,2.000000,0.000000,29.615561
200,1642757610.797397,82.315603,27.575626,0.827461,5.845882,-0.487882,8.540000,-187.000000,45.000000,2.000000,0.000000,29.844221
201,1642757610.797397,82.315603,27.575626,0.827461,5.845882,-0.487882,8.540000,-187.000000,45.000000,2.000000,0.000000,29.844221
202,1642757610.837296,82.462553,27.758343,0.832871,5.836790,-0.538916,7.250000,-187.000000,45.000000,2.000000,0.000000,30.078699
203,1642757610.837296,82.462553,27.758343,0.832871,5.836790,-0.538916,7.250000,-187.000000,45.000000,2.000000,0.000000,30.078699
204,1642757610.877375,82.607760,27.943326,0.837409,5.854591,-0.590924,6.490000,-187.000000,45.000000,2.000000,0.000000,30.313867
