frame,time,x,y,heading,v_x,v_y,yaw_rate
179,1642495878.056979,-21.086633,19.173852,0.653800,2.218882,-0.054751,1.500000
180,1642495878.096990,-21.018546,19.230932,0.654673,2.240849,-0.081371,1.210000
181,1642495878.136975,-20.947817,19.285723,0.655371,2.241876,-0.094196,0.930000
182,1642495878.196990,-20.843059,19.368499,0.656418,2.207587,-0.093093,1.040000
183,1642495878.236975,-20.774130,19.423336,0.657291,2.219111,-0.079807,1.320000
184,1642495878.276990,-20.703401,19.478127,0.658338,2.210196,-0.064215,1.530000
185,1642495878.317261,-20.636271,19.533011,0.659385,2.184732,-0.066507,1.610000
186,1642495878.356973,-20.568241,19.587872,0.660433,2.171798,-0.099644,1.350000
187,1642495878.396976,-20.501110,19.642756,0.661305,2.174169,-0.113711,1.320000
188,1642495878.437023,-20.433080,19.697617,0.662352,2.163847,-0.109430,1.540000
189,1642495878.476984,-20.365950,19.752501,0.663574,2.166242,-0.099940,1.860000
190,1642495878.537420,-20.266589,19.835417,0.665843,2.168485,-0.095980,2.280000
191,1642495878.576974,-20.199459,19.890301,0.667414,2.165778,-0.098643,2.310000
192,1642495878.617072,-20.132328,19.945185,0.668985,2.182457,-0.100022,2.120000
193,1642495878.656975,-20.064269,20.001156,0.670381,2.202369,-0.110648,1.820000
194,1642495878.696971,-19.998881,20.058305,0.671603,2.201680,-0.121385,1.570000
195,1642495878.736990,-19.930793,20.115385,0.672824,2.197953,-0.102602,1.900000
196,1642495878.776969,-19.862734,20.171355,0.674395,2.208113,-0.079631,2.140000
197,1642495878.837000,-19.759747,20.255288,0.676839,2.225312,-0.068265,2.310000
198,1642495878.876983,-19.689889,20.311211,0.678409,2.221977,-0.063689,2.260000
199,1642495878.916975,-19.623601,20.368338,0.679806,2.215524,-0.095447,1.760000
200,1642495878.956994,-19.555513,20.425418,0.680853,2.221258,-0.120735,1.490000
201,1642495878.996965,-19.488297,20.483630,0.681900,2.221429,-0.124812,1.400000
202,1642495879.037020,-19.420209,20.540710,0.682947,2.209082,-0.105565,1.780000
203,1642495879.076977,-19.353021,20.597813,0.684344,2.193383,-0.111535,1.920000
204,1642495879.116973,-19.288532,20.654986,0.685740,2.195225,-0.105798,2.170000
205,1642495879.176974,-19.188185,20.741207,0.688009,2.190550,-0.107442,2.260000
206,1642495879.216985,-19.121897,20.798334,0.689405,2.178133,-0.131589,1.990000
207,1642495879.257112,-19.056508,20.855483,0.690801,2.175334,-0.137498,1.780000
208,1642495879.296991,-18.992918,20.912680,0.692023,2.175126,-0.131255,1.920000
209,1642495879.336970,-18.927501,20.970939,0.693419,2.174819,-0.110420,2.220000
210,1642495879.376984,-18.861241,21.026956,0.695339,2.178343,-0.085244,2.710000
211,1642495879.416981,-18.794952,21.084082,0.697259,2.182211,-0.079260,2.950000
212,1642495879.456974,-18.727765,21.141185,0.699528,2.192211,-0.067347,3.130000
213,1642495879.517059,-18.628318,21.227430,0.702844,2.209588,-0.092717,2.970000
214,1642495879.556972,-18.562900,21.285689,0.704764,2.209200,-0.121771,2.620000
215,1642495879.596972,-18.497454,21.345058,0.706684,2.210265,-0.133910,2.580000
216,1642495879.636974,-18.431979,21.405536,0.708429,2.211471,-0.135801,2.710000
217,1642495879.676972,-18.366532,21.464905,0.710524,2.207943,-0.125210,2.880000
218,1642495879.716970,-18.302885,21.524320,0.712618,2.205725,-0.125368,2.950000
219,1642495879.756979,-18.237439,21.583689,0.714538,2.203495,-0.125920,2.950000
220,1642495879.796976,-18.172892,21.643081,0.716807,2.205670,-0.113963,3.100000
221,1642495879.856937,-18.075158,21.732700,0.719948,2.195874,-0.121249,3.030000
222,1642495879.896968,-18.012467,21.789920,0.721868,2.191419,-0.123821,2.910000
223,1642495879.937065,-17.947892,21.850422,0.723963,2.196256,-0.113845,3.120000
224,1642495879.976979,-17.883345,21.909814,0.726232,2.190443,-0.115586,3.240000
225,1642495880.016974,-17.819669,21.970338,0.728675,2.183555,-0.099203,3.600000
226,1642495880.057003,-17.756022,22.029754,0.731293,2.184169,-0.099879,3.750000
227,1642495880.096966,-17.691446,22.090255,0.733736,2.198323,-0.112962,3.560000
228,1642495880.156972,-17.596439,22.178835,0.737402,2.202214,-0.120646,3.410000
229,1642495880.196971,-17.533634,22.240493,0.739671,2.202094,-0.124126,3.330000
230,1642495880.236968,-17.469929,22.302127,0.742114,2.203617,-0.106766,3.380000
231,1642495880.276987,-17.406253,22.362652,0.744557,2.213821,-0.100372,3.490000
232,1642495880.316980,-17.343505,22.422091,0.746826,2.209040,-0.114969,3.160000
233,1642495880.356983,-17.280700,22.483748,0.748921,2.212422,-0.121071,2.950000
234,1642495880.396986,-17.217866,22.546515,0.750841,2.219033,-0.136855,2.640000
235,1642495880.436984,-17.155003,22.610392,0.752586,2.223277,-0.140188,2.610000
236,1642495880.496982,-17.061710,22.702347,0.755553,2.216700,-0.130553,2.930000
237,1642495880.536975,-16.998876,22.765114,0.757647,2.208290,-0.132743,3.090000
238,1642495880.577102,-16.936941,22.827905,0.759916,2.210688,-0.128493,3.300000
239,1642495880.616976,-16.875007,22.890695,0.762185,2.218405,-0.138502,3.370000
240,1642495880.656980,-16.813043,22.954595,0.764629,2.214407,-0.137235,3.420000
241,1642495880.696969,-16.752037,23.016299,0.767072,2.212732,-0.125422,3.680000
242,1642495880.736979,-16.690103,23.079090,0.769516,2.214939,-0.133482,3.620000
243,1642495880.776975,-16.628111,23.144099,0.771959,2.215709,-0.147169,3.450000
244,1642495880.836971,-16.537401,23.240562,0.775799,2.212729,-0.137919,3.790000
245,1642495880.876977,-16.475437,23.304462,0.778591,2.201254,-0.106910,4.290000
246,1642495880.916988,-16.414460,23.365057,0.781733,2.198051,-0.097859,4.640000
247,1642495880.956983,-16.353396,23.428980,0.784875,2.200456,-0.115703,4.540000
248,1642495880.996966,-16.293232,23.492927,0.788016,2.207943,-0.132813,4.270000
249,1642495881.036980,-16.233011,23.559092,0.790809,2.216270,-0.161252,3.910000
250,1642495881.077219,-16.173688,23.625281,0.793427,2.212624,-0.178110,3.730000
251,1642495881.116984,-16.115352,23.688165,0.796219,2.214435,-0.163431,4.180000
252,1642495881.176985,-16.026355,23.788003,0.801106,2.237588,-0.136697,4.880000
253,1642495881.216972,-15.966104,23.855278,0.804597,2.249526,-0.137152,4.890000
254,1642495881.256970,-15.905854,23.922553,0.807913,2.259556,-0.147158,4.580000
255,1642495881.296973,-15.847431,23.988765,0.810880,2.262950,-0.173622,4.230000
256,1642495881.336995,-15.788052,24.057173,0.813847,2.259376,-0.172683,4.180000
257,1642495881.376970,-15.728644,24.126690,0.816814,2.270564,-0.145834,4.450000
258,1642495881.416972,-15.669264,24.195098,0.819956,2.275593,-0.148447,4.540000
259,1642495881.456985,-15.609885,24.263506,0.823272,2.264928,-0.145568,4.610000
260,1642495881.516973,-15.521787,24.363367,0.828159,2.252473,-0.125151,4.770000
261,1642495881.556978,-15.463307,24.431798,0.831300,2.233596,-0.130284,4.640000
262,1642495881.597007,-15.405726,24.500253,0.834442,2.238509,-0.128709,4.390000
263,1642495881.636996,-15.347246,24.568684,0.837409,2.252261,-0.120662,4.290000
264,1642495881.676977,-15.288766,24.637115,0.840202,2.247948,-0.133039,4.040000
265,1642495881.716974,-15.232114,24.704483,0.842994,2.235088,-0.143106,3.860000
266,1642495881.756990,-15.175433,24.772961,0.845612,2.229297,-0.129124,3.970000
267,1642495881.816999,-15.089947,24.876221,0.849975,2.230296,-0.126452,4.080000
268,1642495881.856982,-15.033237,24.945808,0.852593,2.234954,-0.132369,3.890000
269,1642495881.897002,-14.977514,25.012090,0.855211,2.224599,-0.135771,3.720000
270,1642495881.936985,-14.921703,25.081701,0.857829,2.231447,-0.131602,3.690000
271,1642495881.976992,-14.864994,25.151288,0.860447,2.241990,-0.120029,3.810000
272,1642495882.017088,-14.807384,25.220852,0.863240,2.246636,-0.096408,4.120000
273,1642495882.057209,-14.750675,25.290439,0.866207,2.250417,-0.097971,4.010000
274,1642495882.096973,-14.694893,25.358940,0.868825,2.253847,-0.130130,3.500000
275,1642495882.156977,-14.611121,25.465575,0.872316,2.259590,-0.142384,3.500000
276,1642495882.196978,-14.555253,25.537405,0.874934,2.268153,-0.132892,3.940000
277,1642495882.236978,-14.499385,25.609234,0.877726,2.271619,-0.144734,3.880000
278,1642495882.276995,-14.444475,25.678868,0.880344,2.277822,-0.155278,3.770000
279,1642495882.316973,-14.389478,25.751830,0.882962,2.270962,-0.154998,3.750000
280,1642495882.356978,-14.334510,25.823683,0.885580,2.262277,-0.136463,3.920000
281,1642495882.397122,-14.279513,25.896646,0.888373,2.262989,-0.126555,3.980000
282,1642495882.436973,-14.224545,25.968499,0.890991,2.255141,-0.130740,3.810000
283,1642495882.497079,-14.143528,26.072984,0.894656,2.231217,-0.140087,3.330000
284,1642495882.537111,-14.090359,26.144884,0.896750,2.224334,-0.154004,3.100000
285,1642495882.576969,-14.038089,26.216806,0.899019,2.228611,-0.158471,3.410000
