frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc
167,1642587309.661265,-33.520820,10.177571,0.569501,0.622181,-0.061167,0.550000,-167.000000,21,0,0.800000
168,1642587309.741187,-33.476809,10.208628,0.570374,0.693666,-0.068263,0.600000,-168.000000,21,0,1.100000
169,1642587309.781349,-33.452962,10.225774,0.570897,0.753729,-0.061437,0.720000,-167.000000,21,0,1.300000
170,1642587309.821205,-33.428215,10.242898,0.571421,0.751659,-0.070717,0.780000,-166.000000,18,0,1.300000
171,1642587309.861238,-33.400712,10.262170,0.572119,0.788956,-0.065236,0.930000,-165.000000,18,0,1.200000
172,1642587309.901189,-33.375037,10.280379,0.572817,0.793880,-0.072248,1.010000,-164.000000,18,0,1.200000
173,1642587309.941195,-33.348434,10.299674,0.573515,0.836107,-0.070641,1.050000,-163.000000,18,0,1.000000
174,1642587310.041201,-33.277820,10.350027,0.575435,0.877781,-0.074273,1.240000,-162.000000,18,0,1.000000
175,1642587310.081196,-33.250288,10.370409,0.576308,0.868204,-0.067847,1.440000,-162.000000,18,0,0.800000
176,1642587310.121350,-33.221857,10.390767,0.577529,0.858091,-0.060300,1.610000,-161.000000,18,0,0.800000
177,1642587310.161362,-33.193426,10.411126,0.578577,0.893439,-0.053077,1.620000,-160.000000,18,0,0.600000
178,1642587310.201274,-33.164995,10.431484,0.579624,0.870874,-0.070535,1.410000,-159.000000,18,0,0.600000
179,1642587310.281496,-33.106305,10.473264,0.581544,0.882396,-0.066163,1.470000,-158.000000,18,0,0.400000
180,1642587310.341200,-33.064122,10.503258,0.583115,0.860884,-0.061066,1.500000,-156.000000,18,0,0.300000
181,1642587310.401292,-33.036562,10.524749,0.583987,0.875033,-0.072574,1.200000,-153.000000,18,0,0.200000
182,1642587310.421182,-33.008131,10.545108,0.584685,0.875047,-0.082780,1.030000,-150.000000,18,0,0.200000
183,1642587310.461186,-32.979699,10.565466,0.585558,0.879576,-0.074261,1.170000,-149.000000,18,0,0.100000
184,1642587310.501195,-32.951268,10.585824,0.586431,0.858874,-0.051273,1.490000,-148.000000,18,0,0.100000
185,1642587310.581335,-32.898062,10.624415,0.588525,0.796025,-0.057828,1.260000,-145.000000,18,0,0.000000
186,1642587310.621197,-32.872358,10.643734,0.589223,0.807998,-0.062527,0.970000,-141.000000,18,0,0.000000
187,1642587310.681197,-32.832003,10.672665,0.589921,0.811949,-0.074991,0.670000,-136.000000,18,0,0.000000
188,1642587310.741192,-32.793476,10.700534,0.590794,0.775635,-0.057743,0.990000,-132.000000,21,0,0.000000
189,1642587310.761191,-32.780624,10.710193,0.591318,0.760377,-0.047125,1.120000,-127.000000,18,0,0.000000
190,1642587310.841189,-32.732001,10.745572,0.592539,0.757149,-0.055641,0.820000,-122.000000,18,0,0.000000
191,1642587310.881203,-32.705455,10.762649,0.593063,0.754438,-0.061915,0.590000,-122.000000,18,0,0.000000
192,1642587310.921189,-32.681579,10.780905,0.593412,0.736182,-0.066743,0.550000,-123.000000,18,0,0.000000
193,1642587310.961255,-32.657732,10.798051,0.593936,0.745828,-0.050214,0.790000,-123.000000,18,0,0.000000
194,1642587311.021216,-32.622889,10.822684,0.594983,0.712209,-0.033581,0.990000,-123.000000,18,0,-0.100000
195,1642587311.081251,-32.587147,10.847294,0.595855,0.708690,-0.040199,0.710000,-123.000000,18,0,-0.100000
196,1642587311.141187,-32.553203,10.871951,0.596379,0.699700,-0.056822,0.400000,-123.000000,18,0,-0.100000
197,1642587311.181189,-32.531155,10.889144,0.596554,0.690579,-0.059274,0.400000,-123.000000,18,0,-0.100000
198,1642587311.221282,-32.509136,10.905227,0.597077,0.684128,-0.047600,0.590000,-123.000000,18,0,-0.100000
199,1642587311.261210,-32.486245,10.920178,0.597426,0.652191,-0.041283,0.750000,-122.000000,18,0,-0.100000
200,1642587311.301201,-32.464254,10.935152,0.597950,0.688530,-0.039193,0.660000,-120.000000,18,0,-0.100000
201,1642587311.361190,-32.431211,10.959832,0.598648,0.689799,-0.051181,0.480000,-116.000000,18,0,-0.100000
202,1642587311.441197,-32.386243,10.993085,0.599346,0.696481,-0.049792,0.520000,-112.000000,18,0,-0.100000
203,1642587311.481241,-32.362425,11.009122,0.599870,0.703504,-0.031315,0.770000,-108.000000,18,0,-0.100000
204,1642587311.521249,-32.340405,11.025205,0.600219,0.690311,-0.040107,0.690000,-108.000000,18,0,0.000000
205,1642587311.561223,-32.317486,11.041265,0.600742,0.723650,-0.042372,0.570000,-108.000000,18,0,0.000000
206,1642587311.601229,-32.293639,11.058411,0.601091,0.719377,-0.053548,0.480000,-107.000000,18,0,0.000000
207,1642587311.641191,-32.269791,11.075558,0.601615,0.740581,-0.039846,0.660000,-106.000000,18,0,0.000000
208,1642587311.741188,-32.211101,11.117337,0.602837,0.743100,-0.037240,0.690000,-105.000000,18,0,0.000000
209,1642587311.781197,-32.187254,11.134484,0.603360,0.744365,-0.045708,0.580000,-105.000000,18,0,0.000000
210,1642587311.821185,-32.162478,11.152716,0.603709,0.785315,-0.037871,0.620000,-105.000000,18,0,0.000000
211,1642587311.861146,-32.136803,11.170926,0.604058,0.771337,-0.047252,0.550000,-104.000000,18,0,0.000000
212,1642587311.901206,-32.112028,11.189158,0.604582,0.796163,-0.037006,0.660000,-104.000000,18,0,0.000000
213,1642587311.981204,-32.060677,11.225577,0.605455,0.798662,-0.034604,0.670000,-104.000000,18,0,0.000000
214,1642587312.041203,-32.021251,11.253422,0.606153,0.811285,-0.055732,0.340000,-104.000000,18,0,0.000000
215,1642587312.081189,-31.994619,11.273827,0.606327,0.845634,-0.052464,0.380000,-102.000000,18,0,0.000000
216,1642587312.121185,-31.968015,11.293122,0.606502,0.832497,-0.061437,0.320000,-98.000000,21,0,0.000000
217,1642587312.161182,-31.940484,11.313504,0.606851,0.849063,-0.041139,0.630000,-95.000000,18,0,0.100000
218,1642587312.201317,-31.912981,11.332776,0.607375,0.831881,-0.040473,0.770000,-92.000000,18,0,0.100000
219,1642587312.281197,-31.857018,11.373516,0.608422,0.872543,-0.045430,0.640000,-91.000000,18,0,0.100000
220,1642587312.341187,-31.814807,11.404620,0.608945,0.862055,-0.059619,0.480000,-91.000000,18,0,0.100000
221,1642587312.381185,-31.786376,11.424979,0.609294,0.886506,-0.047146,0.580000,-91.000000,18,0,0.100000
222,1642587312.421196,-31.757944,11.445337,0.609818,0.866374,-0.051006,0.620000,-90.000000,18,0,0.100000
223,1642587312.461183,-31.728556,11.467891,0.610167,0.914811,-0.044914,0.570000,-90.000000,18,0,0.100000
224,1642587312.541183,-31.668938,11.510757,0.610865,0.945154,-0.047466,0.520000,-90.000000,18,0,0.100000
225,1642587312.581191,-31.639579,11.532201,0.611389,0.916098,-0.049038,0.610000,-90.000000,18,0,0.100000
226,1642587312.621508,-31.609320,11.553623,0.611738,0.928395,-0.040104,0.690000,-90.000000,18,0,0.100000
227,1642587312.681187,-31.565223,11.588009,0.612436,0.963494,-0.044147,0.560000,-90.000000,18,0,0.100000
228,1642587312.741192,-31.519356,11.621238,0.612785,0.978924,-0.050088,0.470000,-89.000000,18,0,0.100000
229,1642587312.761202,-31.502849,11.633024,0.613134,0.993268,-0.045779,0.550000,-89.000000,18,0,0.100000
230,1642587312.841190,-31.441316,11.680281,0.613832,0.996718,-0.037784,0.740000,-89.000000,18,0,0.200000
231,1642587312.881182,-31.409201,11.703875,0.614356,0.969582,-0.049076,0.660000,-86.000000,18,0,0.200000
232,1642587312.921191,-31.377114,11.726359,0.614705,1.010495,-0.052916,0.520000,-81.000000,18,0,0.200000
233,1642587312.961194,-31.344970,11.751062,0.615054,1.023492,-0.060536,0.410000,-77.000000,18,0,0.200000
234,1642587313.021371,-31.294519,11.787504,0.615578,1.010163,-0.058426,0.590000,-71.000000,18,0,0.200000
235,1642587313.081295,-31.245839,11.825102,0.616450,1.034896,-0.047409,0.870000,-69.000000,18,0,0.200000
236,1642587313.141243,-31.194460,11.862630,0.617323,1.090049,-0.042947,0.910000,-70.000000,18,0,0.200000
237,1642587313.181192,-31.158689,11.888349,0.618021,1.089824,-0.052183,0.780000,-70.000000,18,0,0.200000
238,1642587313.221200,-31.123817,11.914092,0.618545,1.118682,-0.050731,0.760000,-70.000000,18,0,0.200000
239,1642587313.261184,-31.088018,11.940921,0.619068,1.121142,-0.057007,0.650000,-69.000000,18,0,0.300000
240,1642587313.301213,-31.052189,11.968859,0.619592,1.144195,-0.047368,0.800000,-69.000000,18,0,0.300000
241,1642587313.361196,-30.996226,12.009599,0.620465,1.181433,-0.038224,0.820000,-69.000000,18,0,0.300000
242,1642587313.441185,-30.920072,12.065360,0.621512,1.217057,-0.047172,0.610000,-69.000000,18,0,0.300000
