frame,time,x,y,heading,v_x,v_y,yaw_rate
154,1642496177.957052,-24.373989,16.910815,0.637394,1.837845,-0.063825,-0.110000
155,1642496177.996986,-24.314371,16.953681,0.637394,1.829513,-0.052574,0.140000
156,1642496178.036975,-24.255652,16.996570,0.637569,1.823719,-0.052820,0.280000
157,1642496178.076985,-24.196034,17.039436,0.637743,1.827630,-0.069524,0.190000
158,1642496178.136986,-24.109697,17.106035,0.638092,1.813485,-0.063210,0.270000
159,1642496178.177017,-24.051849,17.150057,0.638441,1.799800,-0.044107,0.690000
160,1642496178.216987,-23.994030,17.192970,0.638965,1.800006,-0.046765,1.010000
161,1642496178.256976,-23.936211,17.235882,0.639838,1.797882,-0.035587,1.330000
162,1642496178.296989,-23.879291,17.278818,0.640885,1.780539,-0.025458,1.440000
163,1642496178.336977,-23.822400,17.320644,0.641932,1.756164,-0.024355,1.410000
164,1642496178.376979,-23.766409,17.362494,0.642630,1.756544,-0.065330,0.950000
165,1642496178.416977,-23.710360,17.406562,0.643154,1.769974,-0.075615,0.750000
166,1642496178.477012,-23.625908,17.469880,0.644026,1.747622,-0.040882,0.830000
167,1642496178.516979,-23.571687,17.512885,0.644550,1.740443,-0.040374,0.760000
168,1642496178.556996,-23.515696,17.554735,0.645074,1.748898,-0.060650,0.450000
169,1642496178.596974,-23.460575,17.597717,0.645248,1.745927,-0.071350,0.090000
170,1642496178.636974,-23.404584,17.639567,0.645074,1.731524,-0.077477,-0.130000
171,1642496178.676984,-23.350391,17.681463,0.645074,1.728929,-0.080681,-0.020000
172,1642496178.716980,-23.297969,17.724515,0.645248,1.738737,-0.076762,0.300000
173,1642496178.756975,-23.241978,17.766365,0.645597,1.737902,-0.046757,0.810000
174,1642496178.816977,-23.158426,17.829706,0.646644,1.738991,-0.057934,0.820000
175,1642496178.856975,-23.103334,17.871579,0.647168,1.741311,-0.081615,0.520000
176,1642496178.896979,-23.050912,17.914631,0.647517,1.737975,-0.089821,0.460000
177,1642496178.937500,-22.996691,17.957637,0.647866,1.727790,-0.085659,0.650000
178,1642496178.976987,-22.941599,17.999510,0.648564,1.721784,-0.071483,1.090000
179,1642496179.016980,-22.887407,18.041406,0.649437,1.717966,-0.056603,1.400000
180,1642496179.056976,-22.833185,18.084411,0.650484,1.715707,-0.066621,1.390000
181,1642496179.096980,-22.782591,18.126401,0.651357,1.692923,-0.059903,1.470000
182,1642496179.156978,-22.701767,18.188702,0.652928,1.702082,-0.085559,1.270000
183,1642496179.196983,-22.649345,18.231754,0.653800,1.711650,-0.093177,1.180000
184,1642496179.236973,-22.595123,18.274760,0.654673,1.714865,-0.067846,1.310000
