frame,time,x,y,heading,v_x,v_y,yaw_rate,steer_angle,pedal_acc,pedal_brake,lon_acc
139,1642591596.761409,-33.446900,9.660501,0.630587,-0.009450,-0.019280,-0.050000,-235.000000,13,0,0.000000
140,1642591596.801239,-33.445072,9.661564,0.630587,0.001333,-0.005218,-0.030000,-235.000000,16,0,0.000000
141,1642591596.841197,-33.445072,9.661564,0.630587,-0.000679,0.009410,0.150000,-235.000000,16,0,0.000000
142,1642591596.901202,-33.445972,9.661587,0.630587,-0.002358,0.003231,0.060000,-235.000000,16,0,0.000000
143,1642591596.981193,-33.445043,9.662673,0.630762,-0.012177,-0.013846,-0.010000,-234.000000,16,0,0.000000
144,1642591597.021283,-33.445943,9.662696,0.630762,-0.004537,-0.010743,-0.050000,-234.000000,16,0,0.000000
145,1642591597.061238,-33.445943,9.662696,0.630762,-0.000590,0.000808,0.020000,-234.000000,16,0,0.000000
146,1642591597.101428,-33.445943,9.662696,0.630762,-0.010217,-0.001270,0.050000,-234.000000,16,0,0.000000
147,1642591597.141194,-33.446842,9.662720,0.630762,-0.012985,-0.014436,-0.040000,-233.000000,16,0,0.000000
148,1642591597.181212,-33.445015,9.663783,0.630762,-0.003512,-0.008756,-0.050000,-233.000000,16,0,0.000000
149,1642591597.241282,-33.445914,9.663806,0.630587,-0.006154,-0.011922,-0.090000,-233.000000,16,0,0.000000
150,1642591597.321192,-33.445914,9.663806,0.630587,0.009999,-0.000129,-0.050000,-233.000000,16,0,0.000000
151,1642591597.361250,-33.445914,9.663806,0.630413,0.020130,-0.036067,-0.440000,-233.000000,18,0,0.000000
152,1642591597.401190,-33.444058,9.665978,0.630238,0.028620,-0.013781,-0.160000,-233.000000,18,0,0.000000
153,1642591597.441248,-33.443129,9.667064,0.630238,0.026091,0.006655,0.140000,-233.000000,18,0,0.000000
154,1642591597.481326,-33.442230,9.667041,0.630413,0.008820,0.001485,0.280000,-233.000000,18,0,0.000000
155,1642591597.521184,-33.442230,9.667041,0.630587,0.006639,-0.012487,0.100000,-231.000000,18,0,0.000000
156,1642591597.621195,-33.440373,9.669214,0.630238,0.020912,-0.021879,-0.140000,-231.000000,18,0,0.000000
157,1642591597.661201,-33.440345,9.670323,0.630238,0.019038,0.002748,0.250000,-231.000000,18,0,0.000000
158,1642591597.701185,-33.439445,9.670300,0.630587,0.016743,0.010985,0.450000,-231.000000,18,0,0.000000
159,1642591597.741190,-33.438517,9.671386,0.630762,0.016795,-0.016215,0.090000,-231.000000,18,0,0.000000
160,1642591597.781188,-33.436689,9.672449,0.630762,0.028691,-0.008766,-0.010000,-231.000000,18,0,0.000000
161,1642591597.861213,-33.434833,9.674621,0.630587,0.030830,-0.013399,0.060000,-231.000000,18,0,0.000000
162,1642591597.921232,-33.433005,9.675684,0.630762,0.034933,-0.005445,0.180000,-231.000000,21,0,0.000000
163,1642591597.981188,-33.429349,9.677810,0.630937,0.040804,0.000087,0.190000,-231.000000,21,0,0.000000
164,1642591598.001197,-33.429349,9.677810,0.630937,0.050523,-0.006435,0.000000,-231.000000,21,0,0.000000
165,1642591598.041190,-33.427521,9.678873,0.630937,0.047883,-0.009602,-0.040000,-231.000000,21,0,0.000000
166,1642591598.121189,-33.424737,9.682132,0.630762,0.063343,-0.020609,-0.190000,-231.000000,21,0,0.000000
167,1642591598.161489,-33.421081,9.684257,0.630762,0.096480,-0.010030,-0.050000,-231.000000,21,0,0.000000
168,1642591598.201186,-33.416497,9.687469,0.630587,0.151127,-0.022153,-0.170000,-231.000000,21,0,0.000000
169,1642591598.261220,-33.408200,9.695026,0.630413,0.211729,-0.037374,-0.200000,-231.000000,21,0,0.000000
170,1642591598.321318,-33.397176,9.703623,0.630587,0.240287,-0.010304,0.290000,-231.000000,21,0,0.000000
171,1642591598.341188,-33.393492,9.706858,0.630587,0.254171,-0.003883,0.360000,-231.000000,21,0,0.000000
172,1642591598.421194,-33.373300,9.721879,0.630762,0.325144,-0.053546,-0.110000,-231.000000,21,0,0.000000
173,1642591598.461220,-33.363176,9.730498,0.630762,0.365975,-0.067068,-0.130000,-232.000000,21,0,0.000000
